"SCI_Name_updated","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Nocturnal"
"Icterus galbula",21.1,13.3,5,6.4,23.4,92.1,25.5,67.4,27.4,73.3,32.8,60,0,0,0,0,0,20,20,0,0,0,0,30,10,20,40,0,0,0
"Ixobrychus exilis",47.8,34.7,5.5,7.8,37.9,107.8,30.6,75,29,40.8,86.3,30,0,10,60,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0
"Ixoreus naevius",23.7,15,4.5,6.1,31.1,121.6,40.3,80.4,33.4,85.2,77.5,30,0,0,30,0,0,0,70,0,0,0,0,80,20,0,0,0,0,0
"Junco hyemalis",11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,30,0,0,0,0,0,0,0,70,0,0,0,60,10,30,0,0,0,0
"Lanius borealis",23.2,13.9,6.9,9.3,29.4,109.2,28.7,80.4,26.3,106.2,63.4,10,60,10,0,0,10,10,0,0,0,0,0,100,0,0,0,0,0,0
"Lanius ludovicianus",21.1,12.3,6.5,8.8,27.7,96.4,21.7,74.2,22.6,96.7,51.6,70,10,10,0,0,10,0,0,0,0,0,0,80,10,10,0,0,0,0
"Larus californicus",55.7,19.8,7,14.2,57,377,220.2,156.8,58.4,140,683.4,20,20,0,0,0,20,20,0,20,0,0,20,80,0,0,0,0,0,0
"Larus delawarensis",48.1,19.6,6.2,13,51.2,366,205.5,160,56.2,133.2,516.3,30,10,0,30,0,20,0,0,10,0,20,10,70,0,0,0,0,0,0
"Leucosticte tephrocotis",12.9,9.9,6.4,8.1,19.6,105.5,38.6,66.2,36.9,69.8,37.8,20,0,0,0,0,0,0,0,40,40,0,0,100,0,0,0,0,0,0
"Limnodromus griseus",61,53.1,4.4,6.8,33.6,143,71.8,70.8,50.3,55.2,110.5,70,0,0,0,0,0,0,0,20,10,0,50,50,0,0,0,0,0,0
"Limnodromus scolopaceus",70.7,61.9,4.5,7.1,38.6,145.5,74.2,71.2,51,56.5,104.4,60,0,0,0,0,0,0,0,20,20,0,50,50,0,0,0,0,0,0
"Limosa fedoa",112.5,93.7,6.8,9.2,71.6,224.8,118,106.7,52.5,77.2,357,100,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0
"Lophodytes cucullatus",39.6,27.6,8.3,9.3,29.2,186.6,95,91.5,50.9,85.6,613.8,40,0,10,30,0,0,0,0,10,10,80,20,0,0,0,0,0,0,0
